사망인명피해수,화재발생시,현장안전센터거리,시간단위기온,시간단위풍속,시간단위가시거리,재산피해액,실효습도,전기사용량(KWh),가스사용량(KWh)
0,10,2,17.9,3.3,1919,431,46.162815,18096.2104633905,11774.100170177806
0,3,2,20.0,1.8,1279,441,46.78531200000001,18096.2104633905,11774.100170177806
0,16,3,25.0,0.7,1723,238,56.77826700000001,18096.2104633905,11774.100170177806
0,4,2,16.9,1.0,2000,9,52.00186500000001,18096.2104633905,11774.100170177806
0,13,3,26.2,1.2,1936,105,52.00186500000001,18096.2104633905,11774.100170177806
0,0,2,22.9,0.6,715,369,46.72599300000001,18096.2104633905,11774.100170177806
0,19,2,30.6,1.4,1529,122,56.23388399999999,18096.2104633905,11774.100170177806
0,17,2,35.4,0.8,2000,440,49.694334000000005,18096.2104633905,11774.100170177806
0,11,3,31.2,1.9,1810,8441,41.631150000000005,18096.2104633905,11774.100170177806
0,11,0,28.0,3.3,1827,459,57.920532,18096.2104633905,11774.100170177806
0,11,2,25.9,2.5,1693,108,57.30344400000001,18096.2104633905,11774.100170177806
1,17,3,26.3,1.0,2000,2700,44.234550000000006,18096.2104633905,11774.100170177806
0,21,2,15.2,3.0,2000,28,44.293977,18096.2104633905,11774.100170177806
0,13,2,17.6,4.7,2000,138,45.12061800000001,18096.2104633905,11774.100170177806
0,14,2,19.9,1.9,1833,107,49.71522,18096.2104633905,11774.100170177806
0,22,2,13.6,0.6,1457,53,49.71522,18096.2104633905,11774.100170177806
0,8,2,7.9,0.6,2000,630,47.407107,18096.2104633905,11774.100170177806
0,18,3,6.3,2.0,1653,811,45.211653,18096.2104633905,11774.100170177806
0,4,3,-0.5,0.4,1345,484,38.245503,18096.2104633905,11774.100170177806
0,20,2,3.6,3.8,2000,371,55.861953000000014,18096.2104633905,11774.100170177806
0,11,0,5.2,0.9,1589,970,47.057463000000006,18096.2104633905,11774.100170177806
0,7,3,-1.7,0.5,1789,53049,30.891903,18096.2104633905,11774.100170177806
0,22,2,-4.6,1.5,1998,8340,37.36698,18096.2104633905,11774.100170177806
0,14,2,7.3,3.3,1683,413,46.896249000000005,18096.2104633905,11774.100170177806
0,0,3,-9.4,3.5,1974,478,27.834822000000003,18096.2104633905,11774.100170177806
0,10,3,-4.8,1.0,1816,72072,34.565217,18096.2104633905,11774.100170177806
0,21,2,-2.9,1.8,2000,106,37.418205,18096.2104633905,11774.100170177806
0,18,2,1.6,2.9,1845,292,42.992769,18096.2104633905,11774.100170177806
0,5,2,2.8,2.4,886,392,33.04118700000001,18096.2104633905,11774.100170177806
0,0,2,-6.2,2.3,2000,8,34.959162000000006,18096.2104633905,11774.100170177806
0,13,2,-0.7,4.3,1890,490,41.481447,18096.2104633905,11774.100170177806
0,11,2,1.3,1.3,1811,282,40.918449,18096.2104633905,11774.100170177806
0,6,2,1.5,1.4,1330,335,41.352594,18096.2104633905,11774.100170177806
0,17,1,11.8,2.7,1038,60,41.352594,18096.2104633905,11774.100170177806
0,20,1,7.3,2.4,495,114,32.980494,18096.2104633905,11774.100170177806
0,15,1,12.7,3.2,1051,176,43.991682,18096.2104633905,11774.100170177806
0,13,3,11.8,2.5,1526,451,35.760788999999995,18096.2104633905,11774.100170177806
0,20,1,4.7,3.7,2000,134,48.642714,18096.2104633905,11774.100170177806
0,0,3,5.5,2.1,1994,24,33.3141,18096.2104633905,11774.100170177806
0,18,1,9.9,1.7,2000,1745,44.90318700000002,18096.2104633905,11774.100170177806
0,20,2,8.7,2.3,2000,229,44.90318700000002,18096.2104633905,11774.100170177806
0,5,1,5.7,1.5,836,1798,45.151158,18096.2104633905,11774.100170177806
0,4,2,11.2,0.8,493,250,52.628082000000006,18096.2104633905,11774.100170177806
0,18,2,25.8,2.7,864,388,52.628082000000006,18096.2104633905,11774.100170177806
0,13,3,16.2,2.0,1872,375,50.63572200000001,18096.2104633905,11774.100170177806
0,23,5,17.9,1.1,1538,684,35.22654,18096.2104633905,11774.100170177806
0,22,2,23.3,0.7,1045,10612,37.44385200000001,18096.2104633905,11774.100170177806
0,0,3,13.0,2.6,1383,2316,50.676867,18096.2104633905,11774.100170177806
